2	1
1	2
3	2
4	3
5	3
6	4
7	5
8	6
9	6
10	7
11	7
12	7
1	7
13	8
9	9
14	10
15	11
16	12
17	13
18	14
17	15
19	16
20	16
21	16
22	16
23	18
24	19
15	19
15	21
26	22
27	22
28	23
29	23
30	23
31	23
32	24
33	25
1	26
0	27
34	28
35	29
36	30
37	31
38	31
39	32
12	32
21	32
40	33
24	33
41	34
1	35
42	36
28	36
28	37
6	37
20	37
22	37
43	38
44	39
45	39
21	39
46	40
17	40
47	41
24	42
2	43
42	44
48	45
7	45
34	45
1	45
7	46
16	46
0	47
49	48
50	49
51	50
52	51
1	51
1	52
53	53
37	54
52	54
54	54
15	55
5	55
55	56
56	56
57	57
15	57
1	57
0	58
15	59
58	59
59	60
1	61
42	63
59	63
15	63
0	63
9	64
53	65
17	66
6	67
43	70
35	71
50	72
6	73
0	74
60	75
61	76
29	76
23	79
60	81
57	82
53	82
66	83
14	83
3	83
0	84
67	84
1	85
68	86
69	87
70	88
71	89
0	89
41	90
6	91
1	91
72	92
16	92
73	92
42	93
55	94
1	94
74	95
60	96
54	97
75	98
55	98
48	98
7	98
76	98
11	98
49	98
77	98
78	98
1	98
68	99
7	99
11	99
79	100
50	101
80	102
81	102
4	103
24	103
17	103
0	103
5	103
14	104
50	105
48	106
44	107
66	107
37	108
1	108
63	109
82	110
41	110
15	110
32	111
83	112
5	112
1	112
6	113
8	114
7	114
0	114
55	115
56	115
24	115
15	115
84	115
67	115
85	116
45	116
86	116
1	116
1	117
6	118
24	119
87	121
0	121
67	121
16	122
37	124
15	124
1	124
88	125
52	126
0	127
1	127
89	129
11	130
55	131
56	131
48	131
83	131
68	131
90	131
7	131
17	131
5	131
91	132
54	133
41	134
92	134
93	135
0	136
15	137
6	138
48	139
17	139
1	139
8	9
61	9
9	9
11	140
49	140
17	141
31	142
37	143
94	144
15	145
36	146
27	146
68	147
40	148
15	149
3	149
36	150
9	151
40	152
95	152
50	152
14	152
43	153
96	154
7	155
50	156
6	157
30	158
1	158
97	159
6	162
25	164
28	165
99	166
9	167
46	169
12	169
0	169
8	170
68	171
90	171
100	171
3	171
28	172
64	172
15	172
70	172
21	172
34	173
94	174
8	175
68	175
90	175
1	175
31	175
101	176
102	177
15	178
17	178
1	178
9	179
1	179
4	180
36	181
15	182
103	183
28	184
17	184
77	185
15	186
85	187
7	188
25	189
16	189
15	190
1	190
38	191
25	192
6	193
4	194
104	195
105	195
6	195
55	196
0	196
48	197
53	198
6	199
86	200
43	201
1	201
15	202
70	202
6	203
48	204
1	205
95	206
4	206
50	206
5	206
8	207
15	208
21	208
106	209
61	209
8	210
68	211
24	211
17	211
14	211
13	212
99	213
68	214
90	214
107	214
27	214
104	215
108	215
30	215
109	216
27	216
84	217
110	218
24	219
1	219
6	220
36	222
58	222
111	223
52	224
17	225
7	226
32	227
27	228
56	229
